solvent_pairs,ratios,percents,context
,,,"This status was also called ""chromatographic invisibility"" by Gorbunov and Skvortsov 6 and is characterized by compensating enthalpic and entropic interactions between the macromolecules and the chromatographic system. Meanwhile, many applications of LCCC to block copolymers [7] [8] [9] [10] [11] [12] and blends of homopolymers [13] [14] [15] have been reported. Most of the references report critical conditions achieved by using solvent mixtures as the mobile phase. However, critical conditions can also be obtained by varying the temperature. 8 In this case even single solvents can establish critical conditions as shown by Chang, 16 Macko, 17 and the present authors."
,,,"Most of the references report critical conditions achieved by using solvent mixtures as the mobile phase. However, critical conditions can also be obtained by varying the temperature. 8 In this case even single solvents can establish critical conditions as shown by Chang, 16 Macko, 17 and the present authors. 18 However, not all molecular details can be determined by liquid chromatography and concentration detection. The hyphenation of LCCC with NMR is of great interest for the polymer characterization."
,,,"It was also found that the 3,4-PI samples were random terpolymers of 1,2-, 1,4-, and 3,4-isoprene, whereas the 1,4-PI samples were copolymers of 1,4-and 3,4-isoprene. In addition, SEC-NMR allowed for a fast and precise molar mass calibration and the calculation of the relevant molar mass parameters M w and M n. consisting of a pump with degasser, UV detector, column oven, and autosampler. The column system consisted of three reversed phase Nucleosil C 18 columns (100-5, 300-5, and 1000-7) with sizes of 250 Â 4.6 mm i.d. from Macherey-Nagel (D€ uren, Germany)."
,,,"The column system consisted of three reversed phase Nucleosil C 18 columns (100-5, 300-5, and 1000-7) with sizes of 250 Â 4.6 mm i.d. from Macherey-Nagel (D€ uren, Germany). The mobile phase was a mixture of butanone and cyclohexane. All LCCC experiments were performed with 1 H NMR as the detector. LCCC-NMR."
"mg/mL, mL/min",,,The NMR experiments were carried out with a z-gradient inverse triple resonance flow probe ( 1 H 90°pulse of 7.7 μs). The flow cell had an active volume of 60 μL. The LCCC-NMR experiments were performed with a concentration of 5 mg/mL for each PI sample. 100 μL was injected. The flow rate was 0.5 mL/min.
"mg/mL, mL/min",,,The LCCC-NMR experiments were performed with a concentration of 5 mg/mL for each PI sample. 100 μL was injected. The flow rate was 0.5 mL/min. On-flow HPLC-NMR experiments were carried out by using protonated HPLC solvents. WET solvent suppression 25 was applied to the HPLC solvents.
mL/min,,,"100 μL was injected. The flow rate was 0.5 mL/min. On-flow HPLC-NMR experiments were carried out by using protonated HPLC solvents. WET solvent suppression 25 was applied to the HPLC solvents. Eight scans per FID with 8 kB data, 6 kHz spectral width, and 0.79 s recycle delay (0.68 s acquisition time) were acquired."
mL/min,,,"The flow rate was 0.5 mL/min. On-flow HPLC-NMR experiments were carried out by using protonated HPLC solvents. WET solvent suppression 25 was applied to the HPLC solvents. Eight scans per FID with 8 kB data, 6 kHz spectral width, and 0.79 s recycle delay (0.68 s acquisition time) were acquired. The series of FIDs were Fourier transformed via one time domain (zero filling to 16 kb) and plotted as 2D contour plots of retention times vs 1 H chemical shifts."
"mg/mL, mL/min",,,The data were processed as 2D contour plots. The accuracy of the NMR retention time was (2 s. The sample concentration was 2.7 mg/mL. 100 μL was injected. HPLC grade THF was used as mobile phase with a flow rate of 0.8 mL/min.
"mg/mL, mL/min",,,The sample concentration was 2.7 mg/mL. 100 μL was injected. HPLC grade THF was used as mobile phase with a flow rate of 0.8 mL/min. WET solvent suppression was applied to THF. ' RESULTS AND DISCUSSION LCCC-NMR of Blends of Polyisoprene.
