Producer,Sample name,nEO,M(EO),EO (%),nPO,M(PO),M(ges)
KOLB,Imbentin-PAP/6100,4.4,194,10,30.2,1750,1944
KOLB,Imbentin-PAP/6200,9.9,438,20,30.2,1750,2188
KOLB,Imbentin-PAP/6800 G,159.1,7000,80,30.2,1750,8750
KOLB,Imbentin-PA P/10200,18.5,813,20,56.0,3250,4063
BASF,Pluronic F 68,160,"7,040",82,27,1566,8606
BASF,Pluronic F 108,282,"12,408",83,44,2552,"14,960"
Serva,Synperonic F 68,159,7000,80,30,1750,8750
Serva,Synperonic F 108,295,"13,000",80,56,3250,"16,250"
Aldrich,EO-PO-EO 1100 10%,3,110,10,17,990,1100
Aldrich,EO-PO-EO 1900 50%,22,950,50,16,950,1900
Aldrich,EO-PO-EO 4400 30%,30,1320,30,53,3080,4400
